Skin_Tone_Name,Skin_Tone_Level,Undertone_Type,Upper_Wear_Colors,Example_Outfit_Ideas
Porcelain,1,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Porcelain,1,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Porcelain,1,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
Ivory,2,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Ivory,2,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Ivory,2,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
Light Beige,3,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Light Beige,3,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Light Beige,3,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
Warm Beige,4,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Warm Beige,4,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Warm Beige,4,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
Golden Beige,5,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Golden Beige,5,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Golden Beige,5,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
Tan,6,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Tan,6,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Tan,6,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
Medium Brown,7,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Medium Brown,7,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Medium Brown,7,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
Deep Brown,8,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Deep Brown,8,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Deep Brown,8,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
Dark Espresso,9,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Dark Espresso,9,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Dark Espresso,9,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"
Ebony,10,warm,"Warm Brown, Terracotta, Camel, Burnt Orange, Mustard Yellow, Rust Red, Golden Beige, Coral Pink, Olive Green, Cream White","Terracotta blouse with black trousers and gold accessories | Burnt orange sweater with dark denim jeans"
Ebony,10,cool,"Navy Blue, Crisp White, Steel Blue, Charcoal Grey, Emerald Green, Royal Purple, Cool Pink, Silver Grey, Icy Blue, Deep Teal","Navy blue shirt with beige chinos and silver watch | Emerald green top with white jeans and pearl necklace"
Ebony,10,neutral,"Classic Black, Pure White, Medium Grey, Sage Green, Taupe Brown, Soft Beige, Dusty Rose, Slate Blue, Warm Ivory, Mushroom Grey","Charcoal grey shirt with dark denim and black leather belt | Sage green cardigan with cream-colored pants"